label,format,number,period,composer,work,performers,time
Westminster,LP,LP XWN-19075,1,"Arne, Thomas (English, 1710-78)","Ode to Shakespeare, two songs from","Forrester, Young, Priestman, Vienna Radio Orchestra",,,,,,,,,,,,
Oiseau-Lyre,CD,CD 475 9117,1,"Arne, Thomas (English, 1710-78)",Overture No. 1 in e,"Hogwood, Academy of Ancient Music",8.1,,,,,,,,,,,
Chandos,CD,CD CHAN 0722,1,"Arne, Thomas (English, 1710-78)",Overture No. 1 in e,"Standage, Collegium Musicum 90",8.2,,,,,,,,,,,
Oiseau-Lyre,CD,CD 475 9117,1,"Arne, Thomas (English, 1710-78)",Overture No. 2 in A,"Hogwood, Academy of Ancient Music",6.3,,,,,,,,,,,
Chandos,CD,CD CHAN 0722,1,"Arne, Thomas (English, 1710-78)",Overture No. 2 in A,"Standage, Collegium Musicum 90",6.7,,,,,,,,,,,
Chandos,CD,CD CHAN 0722,1,"Arne, Thomas (English, 1710-78)",Overture No. 3 in G,"Standage, Collegium Musicum 90",5.0,,,,,,,,,,,
Oiseau-Lyre,CD,CD 475 9117,1,"Arne, Thomas (English, 1710-78)","Overture No. 3 in G, Overture for Henry and Emma, or The Nut-Brown Maid","Hogwood, Academy of Ancient Music",5.1,,,,,,,,,,,
Oiseau-Lyre,CD,CD 475 9117,1,"Arne, Thomas (English, 1710-78)",Overture No. 4 in F,"Hogwood, Academy of Ancient Music",7.2,,,,,,,,,,,
London,LP,LP STS 15013,1,"Arne, Thomas (English, 1710-78)",Overture No. 4 in F,"Hurwitz, English Chamber Orchestra",7.0,,,,,,,,,,,
Chandos,CD,CD CHAN 0722,1,"Arne, Thomas (English, 1710-78)",Overture No. 4 in F,"Standage, Collegium Musicum 90",7.8,,,,,,,,,,,
Oiseau-Lyre,CD,CD 475 9117,1,"Arne, Thomas (English, 1710-78)",Overture No. 5 in D,"Hogwood, Academy of Ancient Music",7.1,,,,,,,,,,,
Chandos,CD,CD CHAN 0722,1,"Arne, Thomas (English, 1710-78)",Overture No. 5 in D,"Standage, Collegium Musicum 90",7.1,,,,,,,,,,,
Oiseau-Lyre,CD,CD 475 9117,1,"Arne, Thomas (English, 1710-78)",Overture No. 6 in B-flat,"Hogwood, Academy of Ancient Music",6.4,,,,,,,,,,,
Chandos,CD,CD CHAN 0722,1,"Arne, Thomas (English, 1710-78)",Overture No. 6 in B-flat,"Standage, Collegium Musicum 90",6.9,,,,,,,,,,,
Chandos,CD,CD CHAN 0722,1,"Arne, Thomas (English, 1710-78)",Overture No. 7 in D,"Standage, Collegium Musicum 90",6.2,,,,,,,,,,,
Oiseau-Lyre,CD,CD 475 9117,1,"Arne, Thomas (English, 1710-78)","Overture No. 7 in D, Overture to Comus","Hogwood, Academy of Ancient Music",6.2,,,,,,,,,,,
Chandos,CD,CD CHAN 0722,1,"Arne, Thomas (English, 1710-78)",Overture No. 8 in g,"Standage, Collegium Musicum 90",8.6,,,,,,,,,,,
Oiseau-Lyre,CD,CD 475 9117,1,"Arne, Thomas (English, 1710-78)","Overture No. 8 in g, Overture to The Judgement of Paris","Hogwood, Academy of Ancient Music",9.1,,,,,,,,,,,
Westminster,LP,LP XWN-19075,1,"Arne, Thomas (English, 1710-78)",Shakespeare songs (various),"Forrester, Young, Priestman, Vienna Radio Orchestra",,,,,,,,,,,,
Westminster,LP,LP XWN-19075,1,"Arne, Thomas (English, 1710-78)",Solemn dirge from Romeo and Juliet,"Priestman, Vienna Academy Chamber Choir, Vienna Radio Orchestra",7.5,,,,,,,,,,,
Hyperion,CD,CD 66583 [prefix del],1,"Arne, Thomas (English, 1710-78)",Solo in E for Violin for Violin and Continuo,Locatelli Trio,4.1,,,,,,,,,,,
Amon Ra,CD,CD SAR-14,1,"Arne, Thomas (English, 1710-78)",Sonata No. 2 in e,Toll,5.6,,,,,,,,,,,
Angel,LP,LP SB-3816,1,"Arne, Thomas (English, 1710-78)",Sonata No. 3,Kipnis,7.2,,,,,,,,,,,
Vanguard,LP,LP VSD 71272,1,"Arne, Thomas (English, 1710-78)",Sonata No. 3 in G,Pinnock,6.6,,,,,,,,,,,
Vanguard,CD,CD 72021 [prefix del],1,"Arne, Thomas (English, 1710-78)",Sonata No. 6 in G,Pinnock,4.1,,,,,,,,,,,
Vanguard,LP,LP VSD 71263,1,"Arne, Thomas (English, 1710-78)",Sonata No. 6 in G,Pinnock,4.1,,,,,,,,,,,
Hyperion,CD,CD 66237 [prefix del],1,"Arne, Thomas (English, 1710-78)","Song, ""Sigh no more, ladies"" (from ""Much Ado About Nothing"")","Morton, Goodman, Parley of Instruments",2.3,,,,,,,,,,,
Westminster,LP,LP XWN-19075,1,"Arne, Thomas (English, 1710-78)","Song, ""Sigh no more, ladies"" (from ""Much Ado About Nothing"")","Young, Priestman, Vienna Radio Orchestra",4.5,,,,,,,,,,,
Westminster,LP,LP XWN-19075,1,"Arne, Thomas (English, 1710-78)","Song, ""Soft flowing Avon"" (from Ode to Shakespeare)","Forrester, Priestman, Vienna Radio Orchestra",8.4,,,,,,,,,,,
Hyperion,CD,CD 66237 [prefix del],1,"Arne, Thomas (English, 1710-78)","Song, ""Soft flowing Avon"" (from Ode to Shakespeare)","Kirkby, Goodman, Parley of Instruments",4.0,,,,,,,,,,,
Westminster,LP,LP XWN-19075,1,"Arne, Thomas (English, 1710-78)","Song, ""Sweetest Bard"" (from Ode to Shakespeare)","Young, Priestman, Vienna Radio Orchestra",3.7,,,,,,,,,,,
Hyperion,CD,CD 66237 [prefix del],1,"Arne, Thomas (English, 1710-78)","Song, ""The Lover's Recantation""","Kirkby, Goodman, Parley of Instruments",9.3,,,,,,,,,,,
